Company_id,Company_Name,Industry,Employee_count,LinkedIn_Followers,,,
C194,KPMG India,Business Consulting and Services,10000,0,,,
C195,Azentio Software,Software Development,1001,0,,,
C196,ProjectPro,Software Development,11,0,,,
C197,Oil and Gas,Oil and Gas,1,0,,,
C198,Honeywell,"Appliances, Electrical, and Electronics Manufacturing",10000,0,,,
C199,Procter & Gamble,Manufacturing,10000,0,,,
C200,Johnson Controls,Industrial Machinery Manufacturing,10000,0,,,
C201,CRISIL Limited,Financial Services,1001,0,,,
C202,Westin Hotels & Resorts,Hospitality,5001,0,,,
C203,Costa Rica Malhas,Textile Manufacturing,1001,0,,,
C204,Comercial Ivaiporã,Retail,501,0,,,
C205,Pidilite Industries Limited,Manufacturing,1001,0,,,
C206,Cooper Card Administradora de Cartões Ltda,Financial Services,201,0,,,
C207,Capita,IT Services and IT Consulting,10000,0,,,
C208,SORRIDENTS FRANCHISING,Wellness and Fitness Services,501,0,,,
C209,Grupo Aldo,Oil and Gas,1001,0,,,
C210,The Walt Disney Company,Entertainment Providers,10000,0,,,
C211,CITGO,Oil and Gas,1001,0,,,
C212,"AbhiBus, an ixigo company.",Travel Arrangements,201,0,,,
C213,EPAM Anywhere,IT Services and IT Consulting,1001,0,,,
C214,CloudMoyo,IT Services and IT Consulting,501,0,,,
C215,ZoomInfo,Software Development,1001,0,,,
C216,Standard Chartered Bank,Banking,10000,0,,,
C217,Wells Fargo,Financial Services,10000,0,,,
C218,Accenture in India,IT Services and IT Consulting,10000,0,,,
C219,H.B. Fuller,Chemical Manufacturing,5001,0,,,
C220,Collins Aerospace,Aviation and Aerospace Component Manufacturing,10000,0,,,
C221,Instabase,Software Development,201,0,,,
C222,"Rubrik, Inc.",Software Development,1001,0,,,
C223,Visa,IT Services and IT Consulting,10000,0,,,
C224,PRO Unlimited,Software Development,1001,0,,,
C225,LyondellBasell,Chemical Manufacturing,10000,0,,,
C226,Swiggy,"Technology, Information and Internet",1001,0,,,
C227,Falabella India,IT Services and IT Consulting,51,0,,,
C228,Target,Retail,10000,0,,,
C229,Barclays Corporate & Investment Bank,Financial Services,10000,0,,,
C230,Mastercard,IT Services and IT Consulting,10000,0,,,
C231,Grupo Elfa,Health and Human Services,1001,0,,,
C232,JR ASSESSORIA EM RH,Human Resources Services,51,0,,,
C233,Grupo Muffato,Retail,10000,0,,,
C234,Playto Labs,E-Learning Providers,11,0,,,
C235,WayCool Foods,Food and Beverage Services,1001,0,,,
C236,Grupo Copobras,Plastics Manufacturing,1001,0,,,
C237,Godrej Capital,Financial Services,201,0,,,
C238,Zepto,"Technology, Information and Internet",51,0,,,
C239,Setrata,Facilities Services,51,0,,,
C240,Target,Retail,10000,1555845,,,
C241,Sheraton Hotels & Resorts,Hospitality,1001,433755,,,
C242,Honeywell,"Appliances, Electrical, and Electronics Manufacturing",10000,2220717,,,
C243,Bajaj Allianz General Insurance,Insurance,5001,0,,,
C244,Mindtickle,Software Development,201,0,,,
C245,Starbucks India,Retail,1001,0,,,
C246,JMS ADVISORY SERVICES PRIVATE LIMITED,Business Consulting and Services,11,0,,,
C247,IDFC FIRST Bank,Banking,10000,819544,,,
C248,SonicWall,Computer and Network Security,1001,73796,,,
C249,Barclays,Financial Services,10000,1250272,,,
C250,Johnson Controls,Industrial Machinery Manufacturing,10000,1148241,,,
C251,CaratLane - A Tanishq Partnership,Retail Luxury Goods and Jewelry,501,48587,,,
C252,Accenture in India,IT Services and IT Consulting,10000,1397910,,,
C253,Procter & Gamble,Manufacturing,10000,7037531,,,
C254,Johnson Controls,Industrial Machinery Manufacturing,10000,1148242,,,
C255,CRISIL Limited,Financial Services,1001,421912,,,
C256,Westin Hotels & Resorts,Hospitality,5001,196673,,,
C257,JioSaavn,"Technology, Information and Internet",201,161361,,,
C258,GTFoods Group,Food and Beverage Manufacturing,10000,38814,,,
C259,Moda Fashion,Manufacturing,1,173,,,
C260,Delhivery,"Transportation, Logistics, Supply Chain and Storage",10000,516619,,,
C261,MS Consultoria,Business Consulting and Services,1,175,,,
C262,CairnMartin,Venture Capital and Private Equity Principals,11,12370,,,
C263,Solvios Technology,Software Development,11,1542,,,
C264,BD,Medical Equipment Manufacturing,10000,704203,,,
C265,Brunel,Staffing and Recruiting,10000,467856,,,
C266,ResultPubli,Advertising Services,51,1586,,,
C267,Bandhan Bank,Banking,10000,393233,,,
C268,ESSENWARE PRIVATE LIMITED,Software Development,51,14791,,,
C269,AUROBINDO PHARMA LTD,Pharmaceutical Manufacturing,10000,61661,,,
C270,Niswey,Advertising Services,11,4244,,,
C271,Barclays,Financial Services,10000,1250273,,,
C272,Delta Exchange,Financial Services,11,20085,,,
C273,CAW Studios,Software Development,51,2142,,,
C274,Google Operations Center,"Technology, Information and Internet",1001,59728,,,
C275,Microsoft,Software Development,10000,17764519,,,
C276,Ola,"Technology, Information and Internet",5001,844440,,,
C277,Delhivery,"Transportation, Logistics, Supply Chain and Storage",10000,516620,,,
C278,Delhivery,"Transportation, Logistics, Supply Chain and Storage",10000,516621,,,
C279,BD,Medical Equipment Manufacturing,10000,704204,,,
C280,Bandhan Bank,Banking,10000,393234,,,
C281,qSEAp Infotech Pvt Ltd,Computer and Network Security,201,6054,,,
C282,Microsoft,Software Development,10000,17764522,,,
C283,Ola,"Technology, Information and Internet",5001,844441,,,
C284,PwC India,Business Consulting and Services,5001,795775,,,
C285,Delhivery,"Transportation, Logistics, Supply Chain and Storage",10000,516622,,,
C286,Cooper Card Administradora de Cartões Ltda,Financial Services,201,8154,,,
C287,Playto Labs,E-Learning Providers,11,4636,,,
C288,2COMS Consulting Pvt. Ltd.,Human Resources Services,10000,40839,,,
C289,Costa Rica Malhas,Textile Manufacturing,1001,5658,,,
C290,Capita,IT Services and IT Consulting,10000,275572,,,
C291,Azentio Software,Software Development,1001,12473,,,
C292,Cyberium Inc,Internet Publishing,51,610,,,
C293,Duality Robotics,Software Development,11,2289,,,
C294,Microsoft,Software Development,10000,17764528,,,
C295,JR ASSESSORIA EM RH,Human Resources Services,51,2388,,,
C296,i4 HR Consulting : Reimagining HR Blueprints,Human Resources Services,11,7873,,,
C297,Johnson Controls,Industrial Machinery Manufacturing,10000,1148240,,,
C298,In Time Tec,Software Development,501,29120,,,
C299,Grupo Elfa,Health and Human Services,1001,42649,,,
C300,Procter & Gamble,Manufacturing,10000,7037536,,,
C301,CRISIL Limited,Financial Services,1001,421913,,,
C302,Swiggy,"Technology, Information and Internet",1001,1124610,,,
C303,Falabella India,IT Services and IT Consulting,51,37573,,,
C304,Target,Retail,10000,1555851,,,
C305,PwC India,Business Consulting and Services,5001,795777,,,
C306,Barclays Corporate & Investment Bank,Financial Services,10000,706850,,,
C307,Pidilite Industries Limited,Manufacturing,1001,389624,,,
C308,Mastercard,IT Services and IT Consulting,10000,1095072,,,
C309,Bandhan Bank,Banking,10000,393235,,,
C310,AUROBINDO PHARMA LTD,Pharmaceutical Manufacturing,10000,61662,,,
C311,Google Operations Center,"Technology, Information and Internet",1001,59729,,,
C312,Microsoft,Software Development,10000,17764549,,,
C313,Procter & Gamble,Manufacturing,10000,7037537,,,
C314,Rolls-Royce,Industrial Machinery Manufacturing,10000,1166004,,,
C315,Johnson Controls,Industrial Machinery Manufacturing,10000,1148243,,,
C316,CRISIL Limited,Financial Services,1001,421914,,,
C317,Procter & Gamble,Manufacturing,10000,7037541,,,
C318,Rolls-Royce,Industrial Machinery Manufacturing,10000,1166009,,,
C319,Oil and Gas,Oil and Gas,1,385493,,,
C320,Comercial Ivaiporã,Retail,501,2735,,,
C321,Pidilite Industries Limited,Manufacturing,1001,389625,,,
C322,RHF Talentos,Human Resources Services,11,99658,,,
C323,Tata Housing Development Company Limited,Real Estate,501,175631,,,
C324,PwC India,Business Consulting and Services,5001,795779,,,
C325,Delhivery,"Transportation, Logistics, Supply Chain and Storage",10000,516623,,,
C326,PwC India,Business Consulting and Services,5001,795780,,,
C327,Microsoft,Software Development,10000,17764599,,,
C328,ResultPubli,Advertising Services,51,1587,,,
C329,KPMG India,Business Consulting and Services,10000,1294745,,,
C330,Delhivery,"Transportation, Logistics, Supply Chain and Storage",10000,516624,,,
C331,Volopay,Software Development,51,20855,,,
C332,Rootbridge,Fundraising,51,1638,,,
C333,Microsoft,Software Development,10000,17764605,,,
C334,Microsoft,Software Development,10000,17764606,,,
C335,Procter & Gamble,Manufacturing,10000,7037549,,,
C336,Johnson Controls,Industrial Machinery Manufacturing,10000,1148245,,,
C337,Procter & Gamble,Manufacturing,10000,7037552,,,
C338,Falabella India,IT Services and IT Consulting,51,37574,,,
C339,Target,Retail,10000,1555862,,,
C340,PwC India,Business Consulting and Services,5001,795782,,,
C341,Barclays Corporate & Investment Bank,Financial Services,10000,706851,,,
C342,Barclays,Financial Services,10000,1250276,,,
C343,Mastercard,IT Services and IT Consulting,10000,1095078,,,
C344,Procter & Gamble,Manufacturing,10000,7037553,,,
C345,Johnson Controls,Industrial Machinery Manufacturing,10000,1148246,,,
C346,Procter & Gamble,Manufacturing,10000,7037554,,,
C347,Cyberium Inc,Internet Publishing,51,0,,,
C348,Duality Robotics,Software Development,11,0,,,
C349,i4 HR Consulting : Reimagining HR Blueprints,Human Resources Services,11,0,,,
