Company_id,Company_Name,Industry,Employee_count,Job_ID,LinkedIn_Followers,Location_City,Location_State,Designation,Details_ID,Involvement,Level,Total_Applicants
C222,"Rubrik, Inc.",Software Development,1001,J213,0,Bangalore Urban,Karnataka,Senior Software Engineer DLC,D008,Full-time,Associate,NULL
C067,Sivi,Software Development,11,J214,1385,Bengaluru,Karnataka,Data Scientist [Fresher],D008,Full-time,Associate,NULL
C136,Salesforce,Software Development,10000,J219,3915833,Bengaluru,Karnataka,Senior Technical Consultant (Salesforce Developer),D006,Full-time,NULL,31
C141,Cloudera,Software Development,1001,J230,225602,Bengaluru,Karnataka,Senior Software Development Engineer in Test (Senior SDET),D027,Full-time,Associate,95
C192,In Time Tec,Software Development,501,J233,0,Bengaluru,Karnataka,Manual Tester- (For Night Shift),D030,Full-time,Entry level,NULL
C196,ProjectPro,Software Development,11,J234,0,Bengaluru,Karnataka,Associate Data Scientist,D008,Full-time,Associate,NULL
C221,Instabase,Software Development,201,J235,0,Bengaluru,Karnataka,"Senior Software Engineer, Backend - Infra",D008,Full-time,Associate,NULL
C331,Volopay,Software Development,51,J238,20855,Bengaluru,Karnataka,Head of Customer Success,D029,Full-time,Director,72
C002,Microsoft,Software Development,10000,J241,0,Chandigarh,Chandigarh,Data Science Internship Opportunity for University Graduates,D104,Internship,Internship,15
C002,Microsoft,Software Development,10000,J243,0,Chandigarh,Chandigarh,Data Science Internship Opportunity for University Graduates,D098,Internship,Internship,NULL
C215,ZoomInfo,Software Development,1001,J249,0,Chennai,Tamil Nadu,Senior Software Engineer,D084,Full-time,Mid-Senior level,NULL
C195,Azentio Software,Software Development,1001,J256,0,Chennai,Tamil Nadu,Project Management Officer,D095,Full-time,Mid-Senior level,72
C195,Azentio Software,Software Development,1001,J261,0,Chennai,Tamil Nadu,Project Management Officer,D084,Full-time,Mid-Senior level,NULL
C002,Microsoft,Software Development,10000,J266,0,NULL,Daman and Diu,Data Science Internship Opportunity for University Graduates,D099,Internship,Internship,13
C002,Microsoft,Software Development,10000,J275,0,NULL,Daman and Diu,Data Science Internship Opportunity for University Graduates,D098,Internship,Internship,NULL
C002,Microsoft,Software Development,10000,J285,0,Delhi,Delhi,Data Science Internship Opportunity for University Graduates,D100,Internship,Internship,130
C002,Microsoft,Software Development,10000,J287,0,Delhi,Delhi,Data Science Internship Opportunity for University Graduates,D101,Internship,Internship,131
C002,Microsoft,Software Development,10000,J289,0,Delhi,Delhi,Data Science Internship Opportunity for University Graduates,D098,Internship,Internship,NULL
C002,Microsoft,Software Development,10000,J390,0,Delhi,Delhi,Data Science Internship Opportunity for University Graduates,D102,Internship,Internship,136
C002,Microsoft,Software Development,10000,J393,0,NULL,Goa,Data Science Internship Opportunity for University Graduates,D109,Internship,Internship,5
C002,Microsoft,Software Development,10000,J394,0,NULL,Goa,Data Science Internship Opportunity for University Graduates,D098,Internship,Internship,NULL
C002,Microsoft,Software Development,10000,J397,0,NULL,Gujarat,Data Science Internship Opportunity for University Graduates,D110,Internship,Internship,59
